,kernel,pid,visit,accuracy,neg_log_loss,log_marginal_likelihood
0,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),21,1,0.9400000000000001,0.1524583776022328,14.009143221150078
1,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),21,2,0.78,0.5303185897942795,55.97152344388938
2,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),21,3,0.8700000000000001,0.27506940984204215,30.123122856800528
3,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),23,1,0.77,0.4680502650754808,47.09394456755918
4,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),23,2,0.82,0.3520395727838363,33.98888831831643
5,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),23,3,0.8300000000000001,0.4439362270693746,48.65736060618083
6,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),25,1,0.8100000000000002,0.4116881919831708,42.43791337727918
7,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),25,2,0.6266666666666666,0.6730302754597882,31.755844540561007
8,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),25,3,0.5199999999999999,0.7174059211471906,69.16983641618712
9,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),26,1,0.5433823529411764,0.6843952724431921,54.864735453864526
10,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),26,2,0.8403508771929824,0.3164995525359736,32.38561139669443
11,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),26,3,0.9794736842105263,0.13166246843852375,11.18334348674024
12,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),27,1,0.8989473684210527,0.25719555967555274,27.492664918610313
13,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),27,2,0.95,0.14454773936196974,15.636172420658477
14,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),27,3,0.97,0.1748833753207192,14.035149003875862
15,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),28,1,0.9589473684210527,0.18745533429821917,14.671680604082582
16,1**2 + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),28,2,0.9384210526315788,0.16021618663469064,19.224433733469617
