,classifier,pid,visit,accuracy,neg_log_loss
0,MLPClassifier(max_iter=1000),21,1,0.9400000000000001,-0.11688180470146001
1,MLPClassifier(max_iter=1000),21,2,0.7899999999999998,-0.5214690406494191
2,MLPClassifier(max_iter=1000),21,3,0.8700000000000001,-0.26831902235283284
3,MLPClassifier(max_iter=1000),22,1,0.9209150326797386,-0.2447325355717882
4,MLPClassifier(max_iter=1000),22,2,0.95,-0.1990869319464017
5,MLPClassifier(max_iter=1000),22,3,,
6,MLPClassifier(max_iter=1000),23,1,0.76,-0.4816098273435768
7,MLPClassifier(max_iter=1000),23,2,0.8299999999999998,-0.33004319739957977
8,MLPClassifier(max_iter=1000),23,3,0.7899999999999999,-0.4839348119464823
9,MLPClassifier(max_iter=1000),25,1,0.8200000000000001,-0.406945406417136
10,MLPClassifier(max_iter=1000),25,2,0.5866666666666667,-0.6519973924224771
11,MLPClassifier(max_iter=1000),25,3,0.5299999999999999,-0.7166872613933147
12,MLPClassifier(max_iter=1000),26,1,0.5691176470588235,-0.6620610664036063
13,MLPClassifier(max_iter=1000),26,2,0.8941520467836257,-0.3058113922134401
14,MLPClassifier(max_iter=1000),26,3,0.9486842105263158,-0.21233654897346776
15,MLPClassifier(max_iter=1000),27,1,0.8984210526315788,-0.24177368773739333
16,MLPClassifier(max_iter=1000),27,2,0.95,-0.12992571947547665
17,MLPClassifier(max_iter=1000),27,3,0.97,-0.1258765249795153
18,MLPClassifier(max_iter=1000),28,1,0.9694736842105263,-0.12569476362393892
19,MLPClassifier(max_iter=1000),28,2,0.9384210526315788,-0.15660215146146356
20,MLPClassifier(max_iter=1000),28,3,0.95,-0.12053009658375644
21,MLPClassifier(max_iter=1000),29,1,0.8889473684210525,-0.29797225717829456
22,MLPClassifier(max_iter=1000),29,2,0.8975,-0.2172632461613163
23,MLPClassifier(max_iter=1000),29,3,0.89,-0.2629657208790731
24,MLPClassifier(max_iter=1000),30,1,0.9294736842105265,-0.19495326477815345
25,MLPClassifier(max_iter=1000),30,2,0.95,-0.13089150220871806
26,MLPClassifier(max_iter=1000),30,3,0.9368421052631579,-0.1416888237993538
27,MLPClassifier(max_iter=1000),31,1,0.8315789473684211,-0.36932668393820417
28,MLPClassifier(max_iter=1000),31,2,0.89,-0.23428180423406347
29,MLPClassifier(max_iter=1000),31,3,0.8299999999999998,-0.4028366257146863
30,MLPClassifier(max_iter=1000),32,1,0.89,-0.2964973473880646
31,MLPClassifier(max_iter=1000),32,2,0.9299999999999999,-0.22200354415756118
32,MLPClassifier(max_iter=1000),33,1,0.575,-0.7947016899997653
33,MLPClassifier(max_iter=1000),33,2,0.8242105263157894,-0.46048621572270204
34,MLPClassifier(max_iter=1000),33,3,0.8473684210526315,-0.314087997251829
35,MLPClassifier(max_iter=1000),35,1,0.9299999999999999,-0.1882586461166164
36,MLPClassifier(max_iter=1000),35,2,0.9400000000000001,-0.22290416286484352
37,MLPClassifier(max_iter=1000),36,1,0.8631578947368421,-0.40504126514525945
38,MLPClassifier(max_iter=1000),36,2,0.5157894736842106,-0.6919047857800458
39,MLPClassifier(max_iter=1000),36,3,0.5978947368421053,-0.6993581915485814
40,MLPClassifier(max_iter=1000),37,1,0.82,-0.38298313245570714
41,MLPClassifier(max_iter=1000),37,2,0.9017543859649123,-0.2764464494604791
42,MLPClassifier(max_iter=1000),37,3,0.9594736842105263,-0.12526977275598886
43,KNeighborsClassifier(),21,1,0.95,-0.09431555812480479
44,KNeighborsClassifier(),21,2,0.75,-1.8486511298123276
45,KNeighborsClassifier(),21,3,0.8800000000000001,-1.2404885632503695
46,KNeighborsClassifier(),22,1,0.9320261437908497,-0.8962167005803705
47,KNeighborsClassifier(),22,2,0.95,-1.7548717435313208
48,KNeighborsClassifier(),22,3,,
49,KNeighborsClassifier(),23,1,0.75,-1.438710087872021
50,KNeighborsClassifier(),23,2,0.8099999999999999,-1.2809028528868984
51,KNeighborsClassifier(),23,3,0.8099999999999999,-2.0355281589520935
52,KNeighborsClassifier(),25,1,0.8200000000000001,-2.6912141199542012
53,KNeighborsClassifier(),25,2,0.4955555555555556,-2.7472631992848635
54,KNeighborsClassifier(),25,3,0.51,-2.089289210291779
55,KNeighborsClassifier(),26,1,0.6169117647058824,-2.235330889629572
56,KNeighborsClassifier(),26,2,0.8415204678362572,-0.6323681551624893
57,KNeighborsClassifier(),26,3,0.9486842105263158,-1.7779631669427463
58,KNeighborsClassifier(),27,1,0.8784210526315789,-1.2210933625745706
59,KNeighborsClassifier(),27,2,0.9294736842105265,-0.13838390620560623
60,KNeighborsClassifier(),27,3,0.93,-0.4584453526308991
61,KNeighborsClassifier(),28,1,0.9078947368421053,-0.1286463170626028
62,KNeighborsClassifier(),28,2,0.9384210526315788,-0.15270833423934574
63,KNeighborsClassifier(),28,3,0.96,-0.08856191667576915
64,KNeighborsClassifier(),29,1,0.8784210526315789,-1.8900250908684622
65,KNeighborsClassifier(),29,2,0.9108333333333334,-0.645508714044267
66,KNeighborsClassifier(),29,3,0.8899999999999999,-1.2235196296227815
67,KNeighborsClassifier(),30,1,0.9400000000000001,-0.5037402027456326
68,KNeighborsClassifier(),30,2,0.95,-0.12732075626389183
69,KNeighborsClassifier(),30,3,0.9268421052631579,-0.14379812389322996
70,KNeighborsClassifier(),31,1,0.8631578947368421,-1.982343278964248
71,KNeighborsClassifier(),31,2,0.9,-0.8584684511343964
72,KNeighborsClassifier(),31,3,0.8699999999999999,-1.9490233339509415
73,KNeighborsClassifier(),32,1,0.89,-0.9173570398198416
74,KNeighborsClassifier(),32,2,0.9099999999999999,-1.1741440535884384
75,KNeighborsClassifier(),33,1,0.55,-1.5429913546647707
76,KNeighborsClassifier(),33,2,0.8031578947368422,-1.4165901609349763
77,KNeighborsClassifier(),33,3,0.8263157894736842,-1.3151217801153594
78,KNeighborsClassifier(),35,1,0.9200000000000002,-0.17442606328035098
79,KNeighborsClassifier(),35,2,0.9200000000000002,-0.1858204061122346
80,KNeighborsClassifier(),36,1,0.8947368421052632,-1.692451886173409
81,KNeighborsClassifier(),36,2,0.5578947368421053,-2.0903595603986034
82,KNeighborsClassifier(),36,3,0.4826315789473683,-1.1298425608749438
83,KNeighborsClassifier(),37,1,0.7977777777777779,-1.61834331031225
84,KNeighborsClassifier(),37,2,0.9017543859649123,-1.288147188419571
85,KNeighborsClassifier(),37,3,0.9389473684210525,-0.13366881965116936
86,RandomForestClassifier(),21,1,0.97,-0.14181516444481804
87,RandomForestClassifier(),21,2,0.7399999999999999,-0.577452620613817
88,RandomForestClassifier(),21,3,0.89,-0.3043321301491839
89,RandomForestClassifier(),22,1,0.9209150326797386,-0.5734893603572955
90,RandomForestClassifier(),22,2,0.95,-1.3494022771973275
91,RandomForestClassifier(),22,3,,
92,RandomForestClassifier(),23,1,0.8,-0.4335463361054712
93,RandomForestClassifier(),23,2,0.8200000000000001,-0.3796961449995124
94,RandomForestClassifier(),23,3,0.7799999999999999,-0.48238114472928084
95,RandomForestClassifier(),25,1,0.8399999999999999,-1.0582492389578348
96,RandomForestClassifier(),25,2,0.5622222222222222,-0.7173961023951028
97,RandomForestClassifier(),25,3,0.55,-0.769876974585321
98,RandomForestClassifier(),26,1,0.5691176470588235,-0.7404640564318397
99,RandomForestClassifier(),26,2,0.8192982456140351,-0.3618445548626562
100,RandomForestClassifier(),26,3,0.9486842105263158,-1.779912205479489
101,RandomForestClassifier(),27,1,0.8889473684210525,-0.344630309663034
102,RandomForestClassifier(),27,2,0.95,-0.18526262644658859
103,RandomForestClassifier(),27,3,0.9800000000000001,-0.13290808658756736
104,RandomForestClassifier(),28,1,0.97,-0.1506360400755665
105,RandomForestClassifier(),28,2,0.9284210526315789,-0.2101304030186566
106,RandomForestClassifier(),28,3,0.96,-0.1498172279593865
107,RandomForestClassifier(),29,1,0.868421052631579,-0.6920483011971248
108,RandomForestClassifier(),29,2,0.8716666666666667,-0.28664621700202686
109,RandomForestClassifier(),29,3,0.9199999999999999,-0.32357738713680045
110,RandomForestClassifier(),30,1,0.9094736842105263,-0.28667740396877406
111,RandomForestClassifier(),30,2,0.95,-0.19253480720050364
112,RandomForestClassifier(),30,3,0.9268421052631579,-0.19533538107763435
113,RandomForestClassifier(),31,1,0.8842105263157896,-0.3761394095606798
114,RandomForestClassifier(),31,2,0.8699999999999999,-0.245638975422818
115,RandomForestClassifier(),31,3,0.86,-0.3835758857067193
116,RandomForestClassifier(),32,1,0.8699999999999999,-0.6420260710280747
117,RandomForestClassifier(),32,2,0.9199999999999999,-0.5557897669325935
118,RandomForestClassifier(),33,1,0.525,-0.7935613202638631
119,RandomForestClassifier(),33,2,0.7921052631578948,-0.5592680137528107
120,RandomForestClassifier(),33,3,0.8573684210526317,-0.6775950189769813
