,regressor,pid,visit,r2,max_error,MSE
0,MLPRegressor(max_iter=1000),21,1,-0.6864869885402614,-1.8899347861297653,-0.38310144406547686
1,MLPRegressor(max_iter=1000),21,2,-0.3968998512849797,-0.5648311490600069,-0.06175960073653412
2,MLPRegressor(max_iter=1000),21,3,0.00673578601721665,-0.5189561824413069,-0.04805065884451432
3,MLPRegressor(max_iter=1000),23,1,-0.09436048654310936,-2.956861331080689,-0.9126192604858989
4,MLPRegressor(max_iter=1000),23,2,-0.017049102707591725,-2.4866727807631377,-0.5877220073302452
5,MLPRegressor(max_iter=1000),23,3,-0.5249599244597284,-1.7718303154111983,-1.1644828785891226
6,MLPRegressor(max_iter=1000),25,1,0.06820152451740917,-3.597495912658654,-2.541764158230518
7,MLPRegressor(max_iter=1000),25,2,0.012473501282320188,-2.41217409870364,-1.190598088455152
8,MLPRegressor(max_iter=1000),25,3,0.2106651872880047,-1.6276309511544476,-0.26661171646172543
9,MLPRegressor(max_iter=1000),26,1,-1.0808410449751134,-1.895741524312081,-1.707834808863911
10,MLPRegressor(max_iter=1000),26,2,-0.05152796749136126,-2.130461716002717,-1.608432392253619
11,MLPRegressor(max_iter=1000),26,3,-0.14672955893625722,-2.070793924805657,-1.6358045946392512
12,MLPRegressor(max_iter=1000),27,1,-0.4304583477731998,-0.5010755499364994,-0.027859836265380307
13,MLPRegressor(max_iter=1000),27,2,-0.29299416498207365,-0.38713897909350053,-0.018556034775964184
14,MLPRegressor(max_iter=1000),27,3,-0.4551087979621034,-0.302334180254482,-0.01618762442092164
15,MLPRegressor(max_iter=1000),28,1,-0.6631105211211727,-0.5779446759174112,-0.049838455899997317
16,MLPRegressor(max_iter=1000),28,2,-0.13245726717686465,-0.5636182650346698,-0.03017333589632702
17,MLPRegressor(max_iter=1000),28,3,0.00849063609616263,-0.32893255349197914,-0.018043579857657366
18,MLPRegressor(max_iter=1000),29,1,0.05726334137379483,-1.4057874816536864,-0.23526272059093906
19,MLPRegressor(max_iter=1000),29,2,-0.042601716355908946,-2.4460949402687513,-0.4300721012872848
20,MLPRegressor(max_iter=1000),29,3,-0.0061331031129905345,-0.8321585339669737,-0.10212600055139143
21,MLPRegressor(max_iter=1000),30,1,-0.21441974588566753,-1.8765612884240714,-0.3802683580567837
22,MLPRegressor(max_iter=1000),30,2,-0.38029509587294524,-1.4910121210537797,-0.438773025632195
23,MLPRegressor(max_iter=1000),30,3,-0.6461861371380611,-1.4052911697074282,-0.281502494416075
24,MLPRegressor(max_iter=1000),31,1,-0.25475306343452714,-0.29086511150855654,-0.017104375201067605
25,MLPRegressor(max_iter=1000),31,2,-0.1537525566950188,-0.3703254061626121,-0.017332091626842145
26,MLPRegressor(max_iter=1000),31,3,-0.36620631351957017,-0.535288071685307,-0.029748742862100865
27,MLPRegressor(max_iter=1000),32,1,-0.39440869925686817,-1.2059302083522057,-0.14192323050879885
28,MLPRegressor(max_iter=1000),32,2,-0.19791376422606083,-0.42473315464219147,-0.030075817463909284
29,MLPRegressor(max_iter=1000),33,1,0.14955884614782852,-0.7148466067787453,-0.09589179204156482
30,MLPRegressor(max_iter=1000),33,2,-0.24302833922130967,-0.48404262205593074,-0.048632031107706725
31,MLPRegressor(max_iter=1000),33,3,0.15921618915627836,-0.4161369931278161,-0.028074586449750694
32,MLPRegressor(max_iter=1000),35,1,0.1710837577968796,-0.6230003300323134,-0.049163541548255474
33,MLPRegressor(max_iter=1000),35,2,-0.22954443159668694,-0.5201892115377402,-0.038121626662115785
34,MLPRegressor(max_iter=1000),36,1,-0.05710617678152004,-2.586735245109092,-1.297760124945356
35,MLPRegressor(max_iter=1000),36,2,-0.06553452591501943,-2.7241425393094447,-1.307685388027179
36,MLPRegressor(max_iter=1000),36,3,-0.1317485047906794,-2.3180652159513895,-1.49742932018478
37,MLPRegressor(max_iter=1000),37,1,-0.37780907644610673,-1.2711375331456096,-0.2751223657845961
38,MLPRegressor(max_iter=1000),37,2,-8.689424873071973,-2.341646149214414,-2.3644393142082984
39,MLPRegressor(max_iter=1000),37,3,-0.2310923029643092,-1.8674763259833653,-1.3457055371499635
40,KNeighborsRegressor(),21,1,-1.6257499790033028,-2.16072,-0.44596629232804225
41,KNeighborsRegressor(),21,2,-0.5830367623876256,-0.63336,-0.06956905779310345
42,KNeighborsRegressor(),21,3,0.014062196918001835,-0.48216000000000003,-0.04632143384615385
43,KNeighborsRegressor(),23,1,-0.6156429670667902,-3.0959999999999996,-0.8141707389162562
44,KNeighborsRegressor(),23,2,-0.07547192507770321,-2.73624,-0.5873153850022989
45,KNeighborsRegressor(),23,3,-0.7767443161208197,-2.45624,-1.3162181845812806
46,KNeighborsRegressor(),25,1,-0.08228791484361755,-3.81156,-2.9371777007567568
47,KNeighborsRegressor(),25,2,-0.02104477861064493,-2.40104,-1.1875006926039888
48,KNeighborsRegressor(),25,3,0.10614316218405831,-1.6994,-0.3072823026666667
49,KNeighborsRegressor(),26,1,-1.4863188983548992,-2.2218,-1.7212113770109891
50,KNeighborsRegressor(),26,2,-0.3386178884841776,-2.7662800000000005,-2.0318448206774193
51,KNeighborsRegressor(),26,3,-0.35954769788064256,-2.54828,-1.8799545820907562
52,KNeighborsRegressor(),27,1,-0.13831315062956273,-0.47291999999999995,-0.021153447
53,KNeighborsRegressor(),27,2,0.019122565325651285,-0.34608000000000005,-0.015102319620967744
